Number of Spheres: 1896
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.36
log(r) Normal with mean -3.21402, variance 0.1
Mean coordination No. 10.7773
0.554959 0.689043 0.718214 0.0453004
0.748132 0.466069 0.117005 0.0325238
0.437479 0.670469 0.977565 0.0577523
0.16507 0.64997 0.946655 0.0339323
0.316206 0.308884 0.330157 0.0607117
0.0850523 0.771515 0.508251 0.0342484
0.912787 0.488489 0.444478 0.0326296
0.527657 0.378239 0.883133 0.0515176
0.284376 0.226611 0.795117 0.0253242
0.824591 0.453028 0.146049 0.0502992
0.567799 0.131181 0.377221 0.0349595
0.448415 0.985242 0.45695 0.0458634
0.189904 0.750138 0.477809 0.0299629
0.836012 0.0761238 0.832337 0.0408288
0.926334 0.00476501 0.910503 0.0369942
0.440438 0.606595 0.74895 0.0334315
0.810899 0.32018 0.435827 0.0622357
0.0636593 0.489291 0.0918926 0.0289976
0.0896862 0.685575 0.315409 0.0341971
0.66165 0.389439 0.449599 0.0513732
0.234354 0.436745 0.153462 0.0537524
0.509656 0.57437 0.755757 0.0432228
0.10132 0.988747 0.457296 0.0483041
0.583183 0.748462 0.668593 0.0370983
0.122474 0.796274 0.0274527 0.0308615
0.324982 0.00117287 0.761551 0.0327184
0.813658 0.993577 0.97337 0.0809183
0.202564 0.473538 0.608308 0.0387605
0.92286 0.0563075 0.730636 0.0380546
0.83953 0.874033 0.481091 0.0315262
0.757419 0.686344 0.437332 0.0493433
0.775039 0.138755 0.00537384 0.057073
0.501141 0.319415 0.931617 0.0291315
0.0827454 0.660513 0.908464 0.0339338
0.6091 0.607484 0.674198 0.062034
0.441995 0.195378 0.846132 0.0367416
0.520239 0.69515 0.310851 0.0353533
0.199418 0.72457 0.642135 0.0448879
0.623463 0.737203 0.568869 0.0389638
0.0410867 0.652444 0.968052 0.0376408
0.638951 0.553418 0.858415 0.0522345
0.838553 0.812034 0.970127 0.0370024
0.543384 0.268348 0.431399 0.0462331
0.940655 0.999154 0.782406 0.0410872
0.017358 0.245895 0.961237 0.0458302
0.248985 0.715591 0.491067 0.0294659
0.857047 0.784034 0.240285 0.046548
0.0615992 0.622065 0.859864 0.0220243
0.604201 0.575195 0.562295 0.0167475
0.665072 0.950641 0.458945 0.0279933
0.6812 0.543957 0.714897 0.042323
0.533576 0.910019 0.918191 0.0731504
0.572516 0.825818 0.859079 0.0368503
0.0765606 0.863733 0.306944 0.0425899
0.67971 0.558897 0.457782 0.0249217
0.915222 0.949448 0.49092 0.0247195
0.0228084 0.00662286 0.0860634 0.0339621
0.273411 0.290518 0.515971 0.0307921
0.642623 0.772441 0.185435 0.0295154
0.94172 0.628256 0.394925 0.0256003
0.240219 0.933473 0.183526 0.0443671
0.749072 0.627613 0.175557 0.0590654
0.630776 0.177184 0.887657 0.0515026
0.470924 0.874411 0.255435 0.0846582
0.526935 0.716097 0.897549 0.04035
0.467133 0.656264 0.878861 0.0462842
0.495444 0.0772431 0.800527 0.0442704
0.0181693 0.318043 0.376182 0.0217174
0.206056 0.74285 0.712948 0.0222824
0.593597 0.493042 0.305685 0.033905
0.360211 0.309231 0.203378 0.0623501
0.530204 0.663143 0.65657 0.0259377
0.60661 0.815782 0.614478 0.0264928
0.436127 0.398466 0.84905 0.0323365
0.321115 0.0183708 0.304246 0.0724431
0.731057 0.685216 0.680657 0.0170227
0.167274 0.43129 0.90178 0.0361925
0.946254 0.987823 0.460383 0.0333158
0.922377 0.318741 0.228199 0.0365471
0.741065 0.94137 0.153638 0.0358162
0.648751 0.881972 0.715268 0.0441674
0.811061 0.647441 0.642727 0.0334963
0.20906 0.671289 0.193329 0.0479147
0.825213 0.0217735 0.193165 0.0342723
0.619392 0.0982672 0.0750044 0.0349937
0.677736 0.541509 0.555423 0.0490032
0.213625 0.488434 0.895686 0.0376384
0.808744 0.831259 0.0411305 0.0386733
0.833007 0.546011 0.00994336 0.0361181
0.228785 0.628843 0.614483 0.0528521
0.402583 0.00971101 0.981445 0.0442304
0.727073 0.0635758 0.260393 0.0647258
0.293552 0.430124 0.394137 0.024579
0.782832 0.968364 0.205276 0.0349768
0.423017 0.601311 0.05062 0.0273426
0.625769 0.635435 0.186396 0.0637277
0.95252 0.666023 0.0438117 0.0443656
0.786723 0.55179 0.11565 0.0379311
0.0186039 0.372613 0.149242 0.0269084
0.513703 0.140251 0.469073 0.0501068
0.91933 0.150455 0.698254 0.0374882
0.105633 0.581414 0.356766 0.0620806
0.370669 0.159302 0.618775 0.0545817
0.631021 0.151863 0.660871 0.0385373
0.496615 0.827354 0.673851 0.0456435
0.239908 0.108883 0.355056 0.049866
0.41217 0.673415 0.172341 0.022583
0.791649 0.170941 0.198514 0.0222108
0.0696419 0.471359 0.561036 0.0444965
0.779623 0.308832 0.0265585 0.0606179
0.257654 0.89666 0.861274 0.0360596
0.00735261 0.163268 0.618201 0.0585136
0.56229 0.795847 0.54129 0.0501532
0.123058 0.468973 0.148728 0.0265708
0.479672 0.368724 0.0219956 0.075594
0.843557 0.846354 0.303238 0.0396086
0.30011 0.0694759 0.102352 0.0742681
0.490645 0.097259 0.207094 0.0222666
0.0401963 0.645032 0.333142 0.0321915
0.321136 0.840072 0.875918 0.0502333
0.459964 0.812242 0.574348 0.0586082
0.65355 0.278098 0.781941 0.0443111
0.0570332 0.32273 0.197433 0.02295
0.125103 0.711898 0.566274 0.058082
0.130385 0.406795 0.616091 0.0598552
0.994881 0.696791 0.800742 0.0480186
0.0833753 0.270984 0.805445 0.0395709
0.808304 0.222255 0.0807303 0.0454613
0.0621235 0.591235 0.448956 0.0403329
0.898918 0.289067 0.420053 0.0324385
0.343677 0.61186 0.0190862 0.0444255
0.0745187 0.94047 0.723294 0.0411039
0.63399 0.98278 0.0938013 0.0294109
0.814597 0.256135 0.784131 0.0417802
0.0754806 0.856201 0.414838 0.0535544
0.109962 0.434688 0.448373 0.0541147
0.100779 0.897743 0.526971 0.0658756
0.568284 0.231497 0.764552 0.054402
0.623726 0.92524 0.151093 0.031382
0.694635 0.538606 0.637642 0.0349845
0.461722 0.641695 0.208489 0.0462293
0.352881 0.905216 0.583001 0.0321617
0.494538 0.859229 0.436385 0.0898921
0.361805 0.669155 0.242813 0.0629294
0.379218 0.794944 0.901772 0.0277315
0.260445 0.278428 0.941207 0.041599
0.34655 0.419305 0.439756 0.0461809
0.560605 0.783418 0.12009 0.0232063
0.668991 0.59104 0.495847 0.026039
0.530669 0.5673 0.251003 0.0376935
0.104009 0.121493 0.504214 0.0380757
0.00896458 0.23089 0.830411 0.0414892
0.624424 0.327084 0.521178 0.0505347
0.7403 0.582317 0.60503 0.0358528
0.232192 0.520327 0.183157 0.0349745
0.863195 0.241764 0.181701 0.0711097
0.882282 0.299867 0.0135257 0.0432533
0.560756 0.420248 0.460795 0.0295846
0.672377 0.0160602 0.641506 0.072129
0.409699 0.900126 0.532497 0.0440284
0.146362 0.28178 0.322676 0.061079
0.956302 0.278414 0.186666 0.0260891
0.0750988 0.0410901 0.62132 0.0219955
0.840465 0.664536 0.842025 0.0632943
0.167655 0.929474 0.0313139 0.0461509
0.059528 0.272741 0.0236486 0.0341338
0.801144 0.699558 0.582545 0.045601
0.601414 0.0592492 0.519063 0.0446445
0.819158 0.876137 0.206872 0.058499
0.59724 0.381327 0.609889 0.0285596
0.659337 0.620071 0.563979 0.0321365
0.626787 0.800958 0.699226 0.0311793
0.0358319 0.502841 0.303784 0.0312068
0.491756 0.281518 0.567744 0.043968
0.807121 0.835325 0.89969 0.0396875
0.911597 0.628384 0.604031 0.0576898
0.203794 0.252151 0.53693 0.0514143
0.0490822 0.396374 0.754566 0.0509116
0.193131 0.808782 0.498878 0.0271011
0.115054 0.861987 0.716353 0.0475018
0.802087 0.556899 0.615693 0.0318011
0.859433 0.645307 0.0535112 0.0490647
0.956176 0.674672 0.364683 0.0306942
0.331724 0.613144 0.746679 0.0267933
0.792235 0.307042 0.124111 0.0356845
0.638922 0.456476 0.587278 0.0497489
0.470229 0.0604778 0.629549 0.0675032
0.0827105 0.100084 0.568459 0.0256152
0.682957 0.149306 0.313731 0.0454596
0.725544 0.37649 0.403578 0.0284271
0.71824 0.325563 0.718062 0.0371119
0.427004 0.450789 0.105899 0.0530468
0.295924 0.523436 0.909544 0.0385973
0.853306 0.101911 0.714644 0.0369238
0.326275 0.136853 0.426327 0.0448055
0.21039 0.370786 0.545064 0.0493774
0.994769 0.346538 0.213289 0.0424189
0.943031 0.0858459 0.659686 0.0414016
0.532314 0.356092 0.604896 0.0375703
0.283675 0.361361 0.413095 0.0340161
0.690249 0.347551 0.871493 0.0748111
0.0143496 0.41772 0.39742 0.0555479
0.270434 0.638692 0.377443 0.0378579
0.612662 0.317078 0.386409 0.0337887
0.522555 0.7239 0.605225 0.053976
0.901491 0.397469 0.50626 0.0268041
0.226592 0.931242 0.755676 0.0792953
0.79379 0.0879897 0.435019 0.0309667
0.444921 0.509291 0.320292 0.0471743
0.596221 0.43608 0.23843 0.038019
0.527348 0.39341 0.430895 0.0213717
0.585488 0.00325004 0.888589 0.0348285
0.309374 0.249828 0.247751 0.0275504
0.313725 0.775007 0.44518 0.0505094
0.140262 0.321526 0.476282 0.0605114
0.317928 0.863187 0.499485 0.0433927
0.148138 0.179802 0.232188 0.0376209
0.785895 0.232463 0.306224 0.0373758
0.594102 0.889867 0.528735 0.0493206
0.903989 0.128505 0.787715 0.0558957
0.834798 0.394788 0.0749916 0.0421415
0.14196 0.639751 0.622684 0.0350379
0.400152 0.830318 0.51032 0.0298373
0.732423 0.435823 0.676741 0.0812955
0.938775 0.621974 0.848436 0.0288059
0.757164 0.399586 0.482714 0.0407906
0.383191 0.474119 0.212552 0.0422689
0.99998 0.703688 0.442064 0.0313199
0.809909 0.0886226 0.209917 0.0306789
0.676291 0.036224 0.0451658 0.0543215
0.959773 0.384112 0.793529 0.0472952
0.191898 0.639529 0.363286 0.0403968
0.101949 0.226064 0.747646 0.0359504
0.463741 0.247947 0.402596 0.0408806
0.803364 0.744386 0.697646 0.0779408
0.427856 0.757771 0.209547 0.0478763
0.276816 0.510562 0.51625 0.0515835
0.36653 0.223487 0.811001 0.0511175
0.0664635 0.854684 0.21497 0.0488211
0.949236 0.230857 0.263781 0.0452797
0.0254624 0.157661 0.991536 0.0416001
0.012159 0.337893 0.0185734 0.0465778
0.174397 0.495799 0.163057 0.0309484
0.336058 0.0935292 0.714153 0.060291
0.734087 0.25425 0.753876 0.0442475
0.768961 0.806333 0.273381 0.0501561
0.477749 0.153842 0.367608 0.0583945
0.495394 0.569187 0.369687 0.0403594
0.133355 0.723682 0.301546 0.0253954
0.701308 0.687209 0.606802 0.0578792
0.457599 0.23767 0.16794 0.0560995
0.268379 0.00918446 0.992949 0.0546149
0.245548 0.0499193 0.242448 0.030146
0.20272 0.176961 0.181948 0.0366172
0.884051 0.701489 0.441833 0.0782705
0.935319 0.741255 0.755999 0.038481
0.603378 0.974878 0.487254 0.0440824
0.594915 0.110882 0.159449 0.0375641
0.243172 0.802119 0.744006 0.0276907
0.408222 0.579093 0.552614 0.0489179
0.228555 0.354672 0.785986 0.0312958
0.856584 0.653507 0.325309 0.0507047
0.597334 0.206196 0.0957485 0.0771024
0.283889 0.712962 0.213986 0.0306821
0.898544 0.685006 0.236737 0.0522403
0.612952 0.0954079 0.632879 0.0270156
0.793136 0.475629 0.0530304 0.0462767
0.571746 0.454981 0.791377 0.0445645
0.909637 0.600943 0.19946 0.0273007
0.230215 0.335865 0.371416 0.0384078
0.759102 0.310971 0.324474 0.0438398
0.390615 0.605689 0.15239 0.051238
0.704326 0.753768 0.268878 0.0332777
0.385959 0.403218 0.886379 0.0303753
0.867717 0.155947 0.880571 0.0475007
